name,category,media_anchor,design_summary
SCP 基金会报告,roleplay,SCP 项目档案,白色文档底(#ffffff)，项目编号黑色粗体，收容等级彩色标签，描述/特殊收容措施分段，[数据删除] 黑色条
跑团记录（TRPG）,roleplay,TRPG 跑团记录,米白底(#faf6f0)，d20 掷骰结果标注，GM 描述斜体，玩家对话引号，行动判定加粗，san 值/HP 栏
二次元番剧简介,media,新番介绍卡,深色底(#1a1a2a)，番名彩色，STAFF/CAST 表格，剧情梗概分段，放送时间，角色立绘框
洛丽塔穿搭日志,media,Lo娘手账页,粉色蕾丝底(#fff0f5)，穿搭照片框，JSK/衬衫/袜子标注，茶会邀约，花体字，蝴蝶结
地质勘探报告,tech,地质队员野外笔记本,米黄纸底(#f0ead6)，手写体，地质剖面素描图边框，矿物硬度莫氏标尺，罗盘方位角
气象云图分析,tech,气象局卫星云图终端,深蓝底(#0a1628)，白色等压线，锋面符号箭头，气压值标注，雷达回波色块
化学实验记录,tech,实验室记录本,格纹纸底(#f5f0e5)，蓝色横线，反应方程式居中对齐，原子量小字标注，锥形瓶插图区
物理定律推导,tech,理论物理黑板,深灰绿黑板底(#2a3328)，白色公式粉笔字，手写体推导，积分符号大号，粗糙纹理
生物细胞观察,tech,显微镜实验报告,白色纸底，圆形视野插图框，细胞器标注箭头，线粒体/核糖体，拉丁学名斜体
宇宙射线观测,tech,射电望远镜打印输出,深蓝黑底(#001122)，白色波形曲线，周期标注，红移值数字，光谱分析条纹带
噪音监测报告,tech,分贝仪 LCD 屏幕,深绿底(#1a3020)，条形音量柱，数字读数粗体，声学波形曲线，A/C 计权标注
味觉风味轮,media,SCA 风味轮,深灰底(#2a2a2a)，圆形色块分区，风味词弧形排列，强度刻度，外圈大分类内圈细项
产品经理 PRD,work,Notion 文档页,白色底(#ffffff)，H1/H2 标题层级，用户故事表格，验收标准 checkbox，优先级 P0/P1 标签
法官庭审笔录,work,法庭速录稿,米黄底(#faf5e8)，「原告：」「被告：」对话体，法庭纪律说明头部，宣判结论加框
外科医生手术记录,work,手术记录单,白色底(#ffffff)，表格框架，术前/术中/术后分段，出血量/麻醉方式字段，签名行
特工任务简报,roleplay,间谍档案夹,深灰底(#1a1a1a)，红色 CLASSIFIED 图章，情报来源编码，行动计划步骤，撤退路线图框
农夫历,life,老黄历翻页,米黄宣纸底(#f0e8d0)，大字日期，宜/忌红色黑色分行，节气标注，生肖图案装饰
厨师长工作日志,work,后厨不锈钢夹板,银色金属底(#d4d6d0)，蓝色圆珠笔手写体，备货清单 checkbox，出餐速度表格，沾油污纹理
策展人导览词,media,美术馆导览折页,白色铜版纸(#ffffff)，展厅编号，作品信息(作者/年代/材质)，解读文字，参观动线
黑匣子录音,tech,飞行记录器面板,工业橙底(#2a1a0a)，UTC 时间戳黄色，高度/空速参数表，驾驶舱语音波形，冲击标记
冷战时期密电,roleplay,冷战密电码表,泛黄纸底(#f0e6d0)，一次性密码本格式，代号替代，数字分组，破译提示，销毁指示
时间管理局档案,roleplay,官方机构表格,白色底(#ffffff)，时间线编码，分支/修复记录，悖论标记红色，时间锚点坐标，批准签章
AI 模型训练日志,tech,Jupyter Notebook 输出,白色底(#ffffff)，Epoch 进度条，Loss 曲线 ASCII 图，绿色收敛标记，橙色过拟合警告
操作系统崩溃报告,tech,Windows BSOD 蓝屏,蓝色底(#0078d7)，白色大号错误码，:( 表情左上，QR 码占位区，百分比进度
博物馆文物标签,media,博物馆展品标签,米白卡纸(#faf6f0)，藏品名加粗，年代/材质/出土地，编号，二维码底部
宜家说明书,media,宜家组装说明,白色底(#ffffff)，纯图示无文字，零件编号，步骤 1-2-3 图示，禁止符号，组装箭头
游戏,life,复古游戏界面,像素黑底(#0a0a0a)，HP/MP 状态条绿色/蓝色，等级数字，装备栏方格，8-bit 字体
穿越,misc,穿越者生存指南,泛黄纸底(#f0e6d0)，穿越前/后对照表，时空坐标，生存技能 checklist
重生,misc,重生计划书,白色底(#ffffff)，前世回顾/今世规划对比，关键时间节点，改变项绿色标记
时间循环,misc,时间循环记录表,深灰底(#1a1a1a)，循环编号 #001 起，每次差异红色标注，逃脱条件 checklist
时间旅行,misc,时间旅行日志,复古棕底(#2a1a0a)，目的地年代+坐标，悖论警告红色，时代服饰/语言适配
平行世界,misc,平行世界对照表,双栏排版，左侧本世界/右侧平行世界，差异项高亮，维度坐标
乐高搭建手册,media,乐高说明书,白色底(#ffffff)，步骤线框，积木清单(颜色+数量)，1:1 比例图示，箭头指示
塔罗牌阵解读,misc,韦特塔罗牌阵,深紫丝绒底(#2a0a2a)，三牌(过去/现在/未来)位置，牌名+正逆位，解读文字
星盘运势分析,misc,占星命盘,深蓝底(#0a1030)，黄道十二宫环，行星相位线，上升/月亮落座，水逆提示
Emoji 密码,creative,Emoji 密码锁屏,深灰底(#1a1a1a)，Emoji 方块排列，选中高亮，键盘区下方，密码位数圆点
摩尔斯电码,code,老式电报纸带,泛黄纸底(#f0ead6)，点划纹理背景，窄条幅，垂直虚线齿孔，点划符号等宽排列
二进制代码,code,穿孔卡带,米黄卡纸(#f5f0d8)，0/1 等宽矩阵排列，底部穿孔带区，老式 IBM 打孔卡风格
盲文点字,code,盲文凸点纸卡,厚白纸底(#fafaf7)，六点网格背景，圆点凸起阴影效果，触感暗示的纹理
条形码 / 二维码,code,超市扫码枪屏幕,白底黑条(#ffffff)，顶部红色激光线，条码区竖线背景，底部数字编码
康威生命游戏,code,细胞自动机网格,深灰底(#1a1a1a)，点阵网格，活细胞亮绿方块，死细胞暗灰，逐代迭代感
数学证明过程,tech,数学竞赛答题纸,米白纸底(#faf8f5)，已知/求证/证明分段，几何图形占位框，Q.E.D. 结尾标记
乐谱（五线谱）,creative,五线谱手稿,泛黄乐谱纸(#f5eed8)，五线谱线淡灰，G 谱号 SVG，音符/休止符，拍号标注，小节线
建筑蓝图,media,建筑蓝图打印,蓝底白线(#1a3a6a)，平面图/立面图/剖面图，尺寸标注，比例尺，图签栏
垃圾分类指南,life,分类垃圾桶标签,四色分区(蓝/绿/红/灰)，物品名列表，图标配文，√/× 标记，投放说明小字
WIFI 信号强度图,tech,手机系统设置页,白色底(#f8f9fa)，信号扇形圆弧图标，dBm 数值标注，已连接绿点，SSID 列表项
电池电量消耗图,life,手机电池详情页,深灰底(#1a1a1c)，电量曲线绿色面积图，应用耗电排名条形，亮屏时间，充电记录
验证码,creative,验证码输入框,白色底(#ffffff)，扭曲字符灰色，干扰线背景，刷新按钮，输入框虚线边框，不区分大小写提示
浏览器历史记录,life,Chrome 历史页面,白色底(#ffffff)，时间分组(今天/昨天)，网站标题+URL，favicon 占位，删除 × 按钮
404 Not Found,creative,404 错误页面,浅灰底(#f5f5f5)，404 超大数字，'页面未找到' 中文粗体，搜索框底部，返回首页链接
自动售货机清单,life,自动售货机货道标签,深灰金属底(#2a2a2a)，A1/B3 货道号橙色背光，品名白色发光，价格红色，按键编号
博尔赫斯,roleplay,无限图书馆书架,老书皮色(#8b7355)，迷宫线框，虚构书引用斜体，脚注式自我注释，镜子副本并列排版
太宰治,roleplay,颓废文学手稿,泛黄和纸(#f0e6d0)，自嘲独白，'失格'关键词划线，纤细笔迹，留白多，温吞节奏
张爱玲,roleplay,民国月份牌风格,深红金底(#5a2020)，华美服饰白描，市井细节，冷眼旁观分行，色彩浓烈字
川端康成,roleplay,雪国白纸,极白底(#f8f6f2)，留白特大，短句如俳句分行，物哀标注，季节感词汇淡绿
加缪,roleplay,阿尔及尔阳光底,暖黄纸底(#f5edd8)，海水温度记录，局外人视角，荒诞感留白，感官精确记述
鲁迅,roleplay,《新青年》杂志页,泛黄纸(#f0e8d0)，短句刺穿用粗体，讽刺反语，'从来如此'式反问加框，白描细节
芥川龙之介,roleplay,大正文艺杂志栏,米白和纸(#f5f0e8)，冷澈短句，零装饰，结尾翻转留白，'人生不如一行波德莱尔'
三岛由纪夫,roleplay,金阁寺金色调,深红黑底(#1a0a0a)，金色标题，仪式感分行，死亡美学关键词，金阁倒影排版
村上春树,roleplay,爵士酒吧便笺,米黄底(#f5edd8)，第一人称独白，威士忌/猫/意大利面琐碎描写，疏离语调
乙一,roleplay,白色/黑暗双面卡,白底(#ffffff)配深灰底(#1a1a1a)分区，日常异常并行排版，留白大，不解释结尾
卡夫卡,roleplay,官僚表格噩梦,灰白底(#e8e8e8)，冗长单句无断行，变形隐喻，权力结构图示，压抑空间感
莫泊桑,roleplay,19 世纪法国报纸栏,泛黄新闻纸(#f5edd0)，冷峻讽刺，结尾反转用小字标注，社会阶层细节
赫尔曼·黑塞,roleplay,东方哲学手稿,米黄底(#f0e8d0)，德米安式双面镜像，流浪者脚注，悉达多河流隐喻，玻璃珠游戏符号
契诃夫,roleplay,俄国乡村医生笔记,米白处方纸(#faf8f4)，暗流涌动留白，小人物独白，省略号多用，平淡窒息感
陀思妥耶夫斯基,roleplay,地下室手记本,暗黄底(#e5dcc8)，灵魂拷问粗体，多重对话体分行，罪与罚思辨，近乎疯狂字
老舍,roleplay,北京胡同茶馆单,泛黄毛边纸(#f0e6c8)，京味口语鲜活，小市民悲喜，幽默/辛酸并行，茶馆菜单感
福克纳,roleplay,南方庄园泛黄信纸,旧纸底(#e8d8c0)，意识流长句无断行，时间线碎裂标注，家族谱系树
沈从文,roleplay,湘西水边手稿,米白纸底(#f5f0e5)，清澈流水字，质朴人情对话，淡哀愁分行，边城式纯净
卡缪,roleplay,鼠疫封锁记录,泛黄隔离纸(#f0e6d0)，局外人视角，荒诞日常，防疫记录格式，阳光与死亡并置
伍尔夫,roleplay,灯塔窗前手稿,米白纸底(#faf6f0)，意识流细腻纹理，时间瞬间展开，达洛维夫人的一天，性别意识
博尔赫斯,roleplay,无限图书馆书架,老书皮色(#8b7355)，迷宫线框，虚构书引用斜体，脚注式自我注释，镜子副本并列排版
奥康纳,roleplay,南方哥特手记,深棕底色(#2a1a0a)，怪诞人物速写，天启时刻红色，残忍+幽默共存
太宰治,roleplay,颓废文学手稿,泛黄和纸(#f0e6d0)，自嘲独白，'失格'关键词划线，纤细笔迹，留白多，温吞节奏
汪曾祺,roleplay,美食小品卡片,毛边纸底(#f0e8d0)，冲淡闲适短句，草木虫鱼凝视，旧式文人风雅，留白有余韵
余华,roleplay,活着手稿纸,米白草纸(#f0e5d5)，苦难冷静白描，暴力克制记录，活着本身重量，荒诞中温情
波拉尼奥,roleplay,荒野侦探笔记本,泛黄纸(#f0e6d0)，流亡文学地图书写，诗意漂泊分行，未完成标注
菲茨杰拉德,roleplay,爵士时代请柬,奶油金边纸(#faf6ee)，精致脆弱文字，绿灯式遥望，盖茨比式执念，华丽空虚分行
HTML 页面,tech,VS Code HTML 视图,深色底(#1e1e1e)，尖括号标签蓝色，属性橙色，内容白色，#id 紫色选择器高亮
产品说明书,format,产品说明书册,白色铜版纸(#ffffff)，功能介绍分点，图解指示线，参数表，注意事项黄色框
游记,fiction,旅行手账,牛皮纸底(#c4a87c)，手写体，景点名加粗，路线图箭头，照片占位，日期戳，票根感
红头文件,format,政府红头文件,白色公文纸(#ffffff)，红色文件头大字，密级/紧急程度标注，正文仿宋，主题词底部
剧本,fiction,舞台剧本格式,白色底(#ffffff)，幕/场标记，角色名大写居中，舞台指示斜体括号，对白缩进
马尔克斯,roleplay,马孔多羊皮卷,热带泛黄纸(#e8d8b0)，魔幻现实瑰丽叙事，百年孤独系谱，时间循环标注，热带气味字
倒写,creative,倒叙手册,米黄底(#f5f0e5)，从结局回溯，逆序时间线箭头，篇尾即篇首标注，逆转页码
网络用语,creative,短视频评论区,深灰底(#1a1a1a)，流行语彩色气泡，缩写标注小字，弹幕流风格，点赞数红心
索引,format,书籍索引页,米白纸底(#faf6f0)，两栏排版，词条+页码，see also 交叉引用斜体，字母分区
合同协议,work,正式合同文件,米白底(#faf8f4)，甲方乙方并列表格，条款编号一/二/三，签名盖章区，骑缝章暗示
心电图,misc,心电图波形,白色底(#ffffff)，心电波形折线，PQRST 波标注，心率数字，导联标注
发票,work,增值税发票,白色底(#ffffff)，发票号码红色顶部，购销方信息表格，货物清单行，金额大写/小写，税章
DJ 打碟歌单,media,DJ Setlist 卡片,黑色底(#0a0a0a)，Track ID + 艺人名白色，BPM+Key 标注，混音过渡箭头，波形图占位
正剧,fiction,正剧剧本页,米白底(#faf6f0)，严肃对话体，角色名加粗，舞台指示斜体，幕/场分隔
微信聊天记录,social,微信聊天界面,浅灰底(#ededed)，绿色发送气泡(#95ec69)，白色接收气泡，头像左/右，时间居中灰色
购物清单,life,超市购物小票,白色热敏纸(#f8f6f0)，物品名左对齐价格右对齐，分类分区，合计底线加粗，会员号
SQL 查询,code,数据库管理工具,深蓝灰底(#1e2d3d)，SELECT/WHERE 蓝色高亮，表名下方线，结果集表格边框
心理咨询师个案,work,心理咨询记录表,淡蓝底(#f0f4f8)，来访者匿名编号，主诉/防御机制/干预策略分段，保密水印，SOAP 格式
时间,misc,时间轴卡,黑色底(#0a0a0a)，24 小时时间刻度左列，事件定位点，持续时长横条，日晷/时钟图标
绕口令,creative,快板/相声节目单,红色底(#c41e3a)，黄色大字标题，绕口令正文分行，拼音标注，节拍记号，快板图案
色卡比对,media,Pantone 色卡,白色底(#ffffff)，色块正方形排列，色号下方小字 RGB/CMYK，色彩名称，NCS 编码
手抄报,media,小学生手抄报,白色底(#ffffff)，大标题花体，板块分区(花边框)，插图画框，手写文字区，装饰元素
C 语言代码,code,VS Code 深色编辑器,深色底(#1e1e1e)，行号左侧列，printf() 蓝绿色函数高亮，main() 结构，#include 头部
CSS 样式表,tech,VS Code CSS 编辑器,深色底(#1e1e1e)，选择器黄色，属性蓝色，值橙色，{} 匹配高亮，注释绿色
JavaScript 代码,code,Chrome DevTools Console,白色底(#ffffff)，> 蓝色提示符前缀，字符串品红，undefined 灰色，console 对象高亮
雨果,roleplay,法国浪漫主义手稿,仿古书页(#f5f0e1)，double 边框，史诗叙事，社会不义激昂控诉，巴黎下水道宏大
莫言,roleplay,高密东北乡粗纸账本,泛黄粗纸(#efe0c4)，感官轰炸叙事，红色左竖线标记，嗅觉/味觉浓烈字，高梁地
股票 K 线图,misc,股票行情终端,深黑底(#0b0e11)，红涨绿跌(中国规则)，K线左竖线，最高/最低/开/收四价，成交量柱
